scenario,age,cause,sex,year,well,sick,newcases,dead,pop,all.mx,intervention,location
all_plus_fair,6,rhd,Male,2046,2235300.97511864,727.684130865307,193.041537650886,2.36157641675806,2236950.1969901,921.537740588468,FAIR,Indonesia
all_plus_fair,95,hhd,Male,2040,90019.3896992986,6558.46824394853,1298.57153650769,858.19097983122,131860.420395701,35282.562452454,FAIR,Indonesia
all_plus_fair,55,hstroke,Female,2027,1666547.31489601,16444.6053143507,3366.07045655959,3164.48811348198,1696774.72142622,13782.8012158604,FAIR,Indonesia
all_plus_fair,13,hstroke,Male,2049,2226012.53332118,1503.01574349958,79.7867118967522,14.7288119906603,2228242.79837428,727.249309595575,FAIR,Indonesia
baseline,87,rhd,Male,2030,119269.799814913,347.127773554917,10.6748955801458,5.11024813724923,134673.946191741,15057.0186032734,b.a.u,Indonesia
fair_only,92,istroke,Female,2033,113228.726285254,5273.19027629788,2966.9376405506,4036.01188140112,138182.279497873,19680.3629363213,FAIR,Indonesia
fair_only,21,cmd,Female,2041,2088016.78135375,305.136756425364,15.8021008682882,16.5681782448631,2090271.39150046,1949.47339028318,FAIR,Indonesia
fair_only,11,ihd,Female,2024,2394468.78057803,0,0,0,2395384.49408396,915.713505932624,FAIR,Indonesia
all_plus_fair,64,dm2,Female,2033,1128575.3109045,286853.738652188,13701.8263365971,1791.4491107698,1443399.83235277,27970.7827960841,FAIR,Indonesia
baseline,62,ihd,Female,2032,1427835.12516827,70099.7092277294,9336.80975135353,4725.55042212568,1525364.01472769,27429.1803316937,b.a.u,Indonesia
fair_only,46,rhd,Male,2033,1986589.24078531,14871.2115288476,66.1970948081786,33.1873401397796,2017326.17632824,15865.7240140857,FAIR,Indonesia
baseline,34,hhd,Male,2022,2125332.68772738,388.690481225353,88.4000048412182,63.6173202652469,2130888.15796561,5166.77975700328,b.a.u,Indonesia
all_plus_fair,19,cmd,Male,2035,2375548.36767387,606.327859438217,16.1531889304219,26.25698929632,2379121.76731811,2967.07178479949,FAIR,Indonesia
fair_only,57,rhd,Male,2027,1511208.2939876,9678.33668687171,37.8324662295237,42.3647924460405,1546547.40452154,25660.7738470728,FAIR,Indonesia
baseline,86,dm2,Female,2044,315044.717506252,101244.704779474,1454.24533910928,2505.73359038323,444555.239492812,28265.8172070865,b.a.u,Indonesia
baseline,0,hhd,Male,2034,2275863.24585996,0,0,0,2329001.5,53138.2541400366,b.a.u,Indonesia
fair_only,29,hhd,Female,2047,2092231.52376497,382.502209544981,57.7221645563355,14.6097750139314,2095481.94138722,2867.91541270412,FAIR,Indonesia
all_plus_fair,68,ihd,Female,2029,958727.626150749,85951.9324809431,9350.24741282036,3196.46690007639,1067234.85372074,22555.2950890506,FAIR,Indonesia
all_plus_fair,16,istroke,Male,2025,2420226.61689369,3402.81592587441,335.53414181235,9.33273479529706,2425944.25704863,2314.82422907319,FAIR,Indonesia
all_plus_fair,47,istroke,Female,2024,1867301.57022043,14186.7858166686,1240.36326870988,348.568493389378,1890039.52995447,8551.17391736417,FAIR,Indonesia
all_plus_fair,77,cmd,Female,2044,960494.985898739,992.685919682113,291.674457150305,102.66964210001,996085.02629599,34597.3544775685,FAIR,Indonesia
all_plus_fair,18,istroke,Female,2030,2405847.5849036,3311.50127278767,331.395819264662,28.1892197817998,2411433.75189705,2274.66572066441,FAIR,Indonesia
baseline,17,rhd,Male,2048,2208314.5819293,7607.79944344248,1067.88083052389,18.4635916813969,2217821.6049078,1899.22353506216,b.a.u,Indonesia
baseline,84,dm2,Female,2030,248264.772318043,57952.8916166234,1595.68413656412,1421.04266197078,328711.260071954,22493.5961372878,b.a.u,Indonesia
baseline,65,rhd,Female,2034,1373859.72782421,10550.9948459669,66.6619664493348,70.6337900952719,1413884.82481286,29474.1021426774,b.a.u,Indonesia
all_plus_fair,23,ihd,Male,2027,2258693.91200254,6647.11994284162,1567.86876892835,218.493169171423,2269402.68879455,4061.6568491679,FAIR,Indonesia
baseline,21,istroke,Male,2029,2402136.02735356,5227.04650852745,364.134502824036,19.5154339679196,2411043.00542592,3679.93156383652,b.a.u,Indonesia
baseline,82,hhd,Female,2026,324923.77340218,6222.71904997892,879.518809668177,508.307866858283,353000.899002233,21854.4065500739,b.a.u,Indonesia
all_plus_fair,22,ihd,Male,2036,2435331.55608794,5397.85784055989,1540.59747991098,183.173350998734,2444646.55904197,3917.14511347059,FAIR,Indonesia
