"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
4,"Indonesia","Male","75-79","hhd",357.588478033918,4163.18162137882,4878.35857744665,0.8,0.65
5,"Indonesia","Male","55-59","istroke",269.925669655021,6590.4203285464,7130.27166785644,0.8,0.7
5,"Indonesia","Male","65-69","ihd",2451.39032914594,34679.613842363,39582.3945006549,0.8,0.7
5,"Indonesia","Male","70-74","hhd",413.722892506301,4761.16229723363,5588.60808224623,0.8,0.7
5,"Indonesia","Male","75-79","ihd",2055.84182957233,27080.4112215981,31192.0948807427,0.8,0.7
6,"Indonesia","Male","65-69","hhd",335.307077228476,3991.63898811249,4662.25314256944,0.8,0.75
7,"Indonesia","Male","70-74","ihd",3095.44518046443,36502.5812958524,42693.4716567812,0.8,0.8
7,"Indonesia","Female","75-79","istroke",3251.89865940815,18670.3875972132,25174.1849160295,0.8,0.8
8,"Indonesia","Female","60-64","istroke",225.984095517896,10449.478507891,10901.4466989268,0.8,0.85
9,"Indonesia","Female","70-74","hstroke",2114.85774180194,3637.21335295958,7866.92883656347,0.8,0.9
9,"Indonesia","Female","80-84","hhd",369.501187061734,3730.64800104404,4469.6503751675,0.8,0.9
9,"Indonesia","Female","80-84","hstroke",1094.00773844844,1556.34562834135,3744.36110523824,0.8,0.9
10,"Indonesia","Male","40-44","hstroke",1456.14307243393,1010.16460758736,3922.45075245521,0.8,0.95
10,"Indonesia","Female","65-69","ihd",1511.67959254141,29025.2727605578,32048.6319456406,0.8,0.95
10,"Indonesia","Female","75-79","hstroke",2026.66921527968,2774.26575782221,6827.60418838157,0.8,0.95
10,"Indonesia","Female","75-79","ihd",2619.48801364198,28871.0277388961,34110.0037661801,0.8,0.95
11,"Indonesia","Female","20-24","Cardiomyopathy and myocarditis",68.3014247361993,1591.55614044917,1728.15898992157,0.8,1
11,"Indonesia","Female","20-24","Rheumatic heart disease",392.343896636131,79622.2265550739,80406.9143483461,0.8,1
11,"Indonesia","Female","20-24","hhd",14.2369809211032,340.205568641774,368.679530483981,0.8,1
11,"Indonesia","Female","20-24","hstroke",138.660424341794,4774.07257540689,5051.39342409048,0.8,1
11,"Indonesia","Female","20-24","ihd",192.054836561026,15560.3843215974,15944.4939947194,0.8,1
11,"Indonesia","Female","20-24","istroke",25.052590749817,4842.88803019692,4892.99321169656,0.8,1
11,"Indonesia","Male","20-24","Cardiomyopathy and myocarditis",100.452335589773,2426.0093899818,2626.91406116135,0.8,1
11,"Indonesia","Male","20-24","Rheumatic heart disease",271.197936255095,69629.7083687506,70172.1042412608,0.8,1
