cause,year,prev_model,death_model,prev_target,death_target
hhd,2023,398174.156581435,63456.9979776944,431402.261321539,64788.7625644759
hhd,2025,453221.0508491,67656.5589894958,460942.301331282,68369.4515902063
hhd,2026,471359.834461258,70326.6034535198,476722.274151996,70205.5444609687
hhd,2027,486077.362780153,72290.1699912092,493024.839548223,72037.2213548422
hhd,2028,498744.951731358,73846.8742094397,509858.219473178,73940.9322584664
hhd,2029,509478.473373463,75452.2225775915,527111.319178019,75899.0656756695
hhd,2030,520297.732196401,76004.3747737111,545013.255067735,77901.3698843323
hhd,2031,531504.090557954,76556.6280135149,563535.531621648,79801.6723069141
hhd,2032,543124.101720715,77198.3893074221,582483.723025418,81726.1395401363
hhd,2033,555277.359158931,77917.1620906902,601882.093786819,83664.2426267126
hhd,2034,567273.642436391,78781.7232358728,621610.080185113,85592.4346955625
hhd,2035,579995.172466871,79456.6324211876,641839.629717873,87538.8051881387
hhd,2036,593359.731499589,80302.8429955226,662437.622158992,89547.4429628496
hhd,2037,607226.65286798,81244.6913895843,683262.399716919,91572.3300173436
hhd,2038,621650.16225564,82253.930841494,704428.348099239,93598.8799499538
hhd,2039,635787.971332228,83389.1809587923,725594.855344843,95678.4904459655
hhd,2040,650347.171359419,84431.8911758369,746973.300892266,97725.1636490714
hhd,2041,665281.394166628,85532.3195906077,768402.833863496,99766.5954039218
hhd,2042,680485.192431276,86657.3132213297,789822.789185644,101783.107314061
hhd,2043,696055.839279261,87779.034425801,811405.396750772,103750.576069323
hhd,2044,711218.32812521,88912.4462868978,832786.900160964,105678.748432853
hhd,2045,726486.456587552,90041.6045905888,853972.243249317,107621.350859361
hhd,2046,741764.268871816,91198.8909425984,874860.420962294,109557.280652654
hhd,2047,757093.248363789,92333.8882911569,895615.702486939,111430.545268355
hhd,2048,772625.898951972,93427.507277049,916315.988629367,113225.672904174
hhd,2049,787603.468855428,94546.8656755522,936588.173970535,115021.050929854
hhd,2050,802290.53275889,95625.9439694284,956045.722019114,116763.655071799
hstroke,2023,1137150.96457904,218575.591705942,1138274.14877578,244306.35453844
hstroke,2025,1157495.33065309,263295.70058044,1157912.16371836,251529.651264623
hstroke,2026,1163101.74763447,259504.468011332,1166906.28143898,255060.567690241
hstroke,2027,1162894.59376265,260330.421136777,1175392.54917774,258464.81212589
hstroke,2028,1165983.51336179,257765.323271705,1183362.32143186,261952.300911104
hstroke,2029,1166644.17574801,258334.317394862,1190711.44478456,265596.502446578
hstroke,2030,1168633.99757984,257411.197787159,1197391.164885,269055.297678075
hstroke,2031,1169874.0211217,257245.005480193,1203589.54411222,271969.613790048
hstroke,2032,1171572.50241654,256745.676365841,1209292.63019641,274695.125899113
