year,prev_target,prev_model,death_target,death_model,prev_relerr,death_relerr
2023,10905982.5149937,10905982.5149937,768600.676704764,768600.676704764,0,0
2024,11149610.3921419,11173854.1641834,787151.493898146,781445.633992794,0.00217440531003443,0.00724874430091656
2025,11392072.5492979,11428196.1179421,805255.23907295,803280.893969914,0.00317093913226559,0.00245182521917985
2026,11639790.348357,11693112.6457726,823864.037196713,819567.338782222,0.0045810358966804,0.00521530036571457
2027,11889428.6308782,11955667.5081993,842290.0579947,839671.699643798,0.00557124142610985,0.00310861837445454
2028,12140590.9607208,12222069.5917891,861329.656192859,857664.116590473,0.00671125741176128,0.00425567560112584
2029,12391420.9918597,12486289.2451576,880997.758086019,878145.157282776,0.0076559624082017,0.00323792061564471
2030,12643042.0042231,12752820.9859435,900804.965039157,897514.789122445,0.00868295633944114,0.00365248421623602
2031,12895793.9645745,13019640.8477903,919437.919400236,916548.958681767,0.00960366485042429,0.00314209437908891
2032,13148700.4774936,13287219.6670118,938082.580147982,935019.653167005,0.0105348197531272,0.00326509312271221
2033,13401707.5750213,13554572.9401379,956500.745917125,953667.462549485,0.0114064095385532,0.00296213398654847
2034,13653112.3754194,13820578.7681683,974877.132831386,971979.394395392,0.0122658034405724,0.00297241399803702
2035,13902353.8515033,14084100.1359217,993114.982639017,990342.188874099,0.01307305844461,0.00279201684939857
2036,14149869.1515506,14345924.5845738,1011719.56276458,1008957.11645973,0.013855635760539,0.00273044666379366
2037,14394898.7002321,14605110.6551817,1030224.9736646,1027534.43943199,0.0146032257209394,0.00261159872977704
2038,14637640.2309142,14861971.5358388,1048398.32138838,1045770.87970848,0.0153256468519339,0.00250614830860863
2039,14875776.1250129,15114057.4445688,1066875.17494838,1064295.30885018,0.0160180764723412,0.0024181517751758
2040,15108653.9388374,15360576.6753892,1084606.47117113,1082114.00061242,0.0166740688860596,0.00229804138639824
2041,15337467.1307516,15602853.1300523,1101998.15545111,1099598.9957157,0.0173031177207001,0.00217709959272071
2042,15561990.8045071,15840636.6724502,1118817.46329161,1116518.6391266,0.0179055412282047,0.00205469099333855
2043,15782730.3411707,16074491.6729222,1134817.52697511,1132593.87101206,0.0184861126968843,0.00195948327390958
2044,15997490.6934979,16302062.4642459,1150189.36128787,1148082.06470553,0.0190387215459854,0.00183213012854323
2045,16205105.5052267,16522214.0852884,1165458.39434932,1163443.87159611,0.0195684366238421,0.0017285239550175
2046,16407495.0786107,16736924.7993529,1180462.26784248,1178524.3164686,0.0200780021059843,0.00164168853733971
2047,16604852.5975636,16946346.8190165,1194649.66745386,1192801.58396659,0.0205659291129775,0.00154696689550083
2048,16797739.9047091,17150986.7740757,1207784.43336493,1206032.65357574,0.0210294284451648,0.00145040765619885
2049,16983737.3372226,17348413.2265512,1220765.29590494,1219112.72223707,0.0214720636622983,0.00135371940323858
2050,17161834.025322,17537643.6633245,1233088.33889765,1231516.65482546,0.021897988143223,0.0012745916270652
