age,year,IR,CF,ir_infeasible,cf_infeasible,sex,cause,location
0,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
1,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
2,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
3,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
4,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
5,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
6,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
7,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
8,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
9,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
10,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
11,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
12,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
13,2024,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
14,2024,2.59986911250811e-05,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
15,2024,1.12954671432572e-06,0.0399146385027834,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
16,2024,7.54352274026288e-07,0.0448654767280044,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
17,2024,1.2475775379119e-06,0.0501444137937735,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
18,2024,1.03503725424728e-06,0.0524002693299641,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
19,2024,5.07190343914416e-05,0.0849899813347255,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
20,2024,2.24207187713226e-06,0.0298072370756547,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
21,2024,1.84382516890184e-06,0.0296565094910805,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
22,2024,1.89646200342751e-06,0.0299247668815933,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
23,2024,2.31539528047707e-06,0.0307011264685133,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
24,2024,3.94198516356108e-05,0.0598897774777073,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
25,2024,3.65919701214707e-06,0.042093458227587,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
26,2024,3.42018542491949e-06,0.0438324323789584,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
27,2024,4.17963776765104e-06,0.0460468482968972,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
28,2024,5.01361779806691e-06,0.0483286747694387,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
29,2024,7.06311487549416e-05,0.0995943578191884,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
30,2024,1.09199525276041e-05,0.0672169551044456,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
31,2024,1.3054032433841e-05,0.0712524216811488,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
32,2024,1.04580081120831e-05,0.0739936607514505,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
33,2024,1.49063807065336e-05,0.0802849655371768,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
34,2024,0.000162699894070114,0.124630366336264,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
35,2024,2.06156007061367e-05,0.0722737608336856,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
36,2024,2.55898495501777e-05,0.0781841999991902,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
37,2024,2.96053190027823e-05,0.0842347370333497,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
38,2024,2.88375946154838e-05,0.0893810871081887,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
39,2024,0.000293294418494541,0.135593016283484,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
40,2024,4.4807759740146e-05,0.0804648442114372,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
41,2024,4.67975070204105e-05,0.0862811526945097,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
42,2024,5.44771887398341e-05,0.0936730001319346,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
43,2024,5.73277493211667e-05,0.101182809884022,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
44,2024,0.000499160146767553,0.145777561410953,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
45,2024,8.54735427972034e-05,0.0911358287320513,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
46,2024,0.000102374861010866,0.0996577127672108,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
47,2024,0.000105130456149752,0.107280315971284,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
48,2024,0.000109345789577352,0.115313912309528,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
49,2024,0.000520021694772481,0.142161605421998,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
50,2024,0.000136068464274935,0.109621783114615,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
51,2024,0.000164453098332345,0.119379592643401,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
52,2024,0.000174692798632938,0.128541168257697,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
53,2024,0.00018591855877453,0.138611632951268,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
54,2024,0.000409960937915057,0.169183299590405,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
55,2024,0.00025293219781335,0.162048894276592,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
56,2024,0.00026985004224151,0.175113765363333,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
57,2024,0.000287205456398148,0.189113700732619,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
58,2024,0.000318724846809434,0.205633418798649,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
59,2024,0.00202886419096695,0.258218809023677,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
60,2024,0.00043348034101429,0.136450365394141,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
61,2024,0.000468869969150936,0.148336494751619,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
62,2024,0.000511339321193801,0.161787744007656,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
63,2024,0.000558245277455725,0.176896121867038,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
64,2024,0.00611659631789201,0.200385864914957,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
65,2024,0.000691001549541874,0.0807786815158432,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
66,2024,0.000771403119065249,0.0890386167543216,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
67,2024,0.0008419166269721,0.0980904801275229,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
68,2024,0.000928539044226838,0.108266684697975,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
69,2024,0.0069038160668964,0.138557716223717,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
70,2024,0.00136637377207604,0.0929078793510982,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
71,2024,0.00149486344552959,0.102782708851464,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
72,2024,0.00167996869179662,0.114057298373182,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
73,2024,0.00175772854671504,0.125618528768695,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
74,2024,0.00777110270617747,0.146021497614008,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
75,2024,0.0019136392480922,0.114637768480468,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
76,2024,0.00267843640438838,0.129829055806948,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
77,2024,0.00258246248905258,0.14090286985179,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
78,2024,0.00325220731093525,0.15782309061792,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
79,2024,0.0104231967165635,0.184091539199891,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
80,2024,0.00416416143282015,0.150258284654789,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
81,2024,0.00462660465487107,0.164841827315744,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
82,2024,0.00514192045666542,0.180520258212043,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
83,2024,0.00571007434734118,0.197233725832616,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
84,2024,0.0156615976046665,0.215108066779802,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
85,2024,0.00707805778730375,0.172342665023174,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
86,2024,0.00783965652455395,0.186371045661542,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
87,2024,0.0087037973851879,0.200884098273847,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
88,2024,0.00969466165805577,0.215949504925295,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
89,2024,0.0148648382961149,0.23259815850743,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
90,2024,0.0120804584652493,0.223625492281192,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
91,2024,0.0133608848973664,0.237891756312469,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
92,2024,0.0147936390846855,0.25234655692475,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
93,2024,0.0163723898897793,0.266723371179594,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
94,2024,0.0237404530303801,0.322442286911351,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
95,2024,0.0237404530303801,0.322442286911351,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
0,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
1,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
2,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
3,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
4,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
5,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
6,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
7,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
8,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
9,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
10,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
11,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
12,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
13,2025,0,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
14,2025,2.58226286647098e-05,0,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
15,2025,8.42520697974121e-07,0.0393280709184242,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
16,2025,8.6147488123119e-07,0.0448651823764735,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
17,2025,1.46240163148544e-06,0.0504072933068564,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
18,2025,1.15163701102855e-06,0.0524746148805857,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
19,2025,5.01261629340402e-05,0.0849406774949779,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
20,2025,1.26669791729013e-06,0.0294043238826437,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
21,2025,1.43440199493651e-06,0.0294913885433891,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
22,2025,1.89814743136012e-06,0.029938766269884,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
23,2025,1.99345159307518e-06,0.0305992026981624,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
24,2025,3.82280603522098e-05,0.0592670432584006,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
25,2025,3.5903695125893e-06,0.042093020994471,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
26,2025,4.7449594108497e-06,0.0444054897265386,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
27,2025,5.44164338451937e-06,0.0466478230087448,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
28,2025,5.17548189217956e-06,0.0484950142726402,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
29,2025,7.02421549861976e-05,0.0993196519095105,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
30,2025,1.07664173902691e-05,0.0670849004558236,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
31,2025,1.14046008887027e-05,0.0705590662401793,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
32,2025,1.06389276076274e-05,0.0740042555197927,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
33,2025,1.44938693776511e-05,0.0801714477176077,FALSE,FALSE,Female,Hypertensive heart disease,Indonesia
