location,year,age,sex,cause,Nx_src,ALL.mx_src,PREVt0_src,DIS.mx.t0_src,BG.mx_src,BG.mx.all_src,IR_src,CF_src
Indonesia,2023,0,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,0,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,0,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,0,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,0,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,0,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,0,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,0,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,0,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,0,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,1,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,1,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,1,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,1,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,1,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,1,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,1,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,1,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,1,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,1,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,2,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,2,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,2,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,2,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,2,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,3,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,3,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,3,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,3,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,3,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,4,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,4,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,4,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,4,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,4,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,5,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,5,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,5,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,5,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,5,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,6,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,6,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,6,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,6,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,6,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,7,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,7,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,7,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,7,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,7,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,8,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,8,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,8,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,8,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,8,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,9,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,9,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,9,Male,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Male,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,9,Male,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,9,Male,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,10,Female,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
Indonesia,2023,10,Female,Intracerebral hemorrhage,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,10,Female,Ischemic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,derived_zero_denom
Indonesia,2023,10,Female,Ischemic stroke,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,10,Female,Rheumatic heart disease,alignment,alignment,alignment,alignment,derived,derived,alignment,alignment
Indonesia,2023,10,Male,Hypertensive heart disease,alignment,alignment,alignment,alignment,derived,derived,production_fallback,derived_zero_denom
