age,year,prev_target,prev_model,death_target,death_model,sex,cause,cause_short
0,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
1,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
2,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
3,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
4,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
5,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
6,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
7,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
8,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
9,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
10,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
11,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
12,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
13,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
14,2023,0,0,0,0,Female,Hypertensive heart disease,hhd
15,2023,59.821984502797,59.821984502797,2.02758157869272,2.02758157869272,Female,Hypertensive heart disease,hhd
16,2023,60.19307845458,60.19307845458,2.40622113235784,2.40622113235784,Female,Hypertensive heart disease,hhd
17,2023,59.1462083639541,59.1462083639541,2.70945517728123,2.70945517728123,Female,Hypertensive heart disease,hhd
18,2023,58.3838783342535,58.3838783342535,2.94742343013397,2.94742343013397,Female,Hypertensive heart disease,hhd
19,2023,56.7432579207749,56.7432579207749,3.0238101075796,3.0238101075796,Female,Hypertensive heart disease,hhd
20,2023,159.76908203545,159.76908203545,4.75272250441402,4.75272250441402,Female,Hypertensive heart disease,hhd
21,2023,159.147326248873,159.147326248873,4.75079566352291,4.75079566352291,Female,Hypertensive heart disease,hhd
22,2023,158.548543383265,158.548543383265,4.73090919331579,4.73090919331579,Female,Hypertensive heart disease,hhd
23,2023,157.994591169253,157.994591169253,4.75242627021418,4.75242627021418,Female,Hypertensive heart disease,hhd
24,2023,158.854179881963,158.854179881963,4.87627521208927,4.87627521208927,Female,Hypertensive heart disease,hhd
25,2023,237.185644744823,237.185644744823,9.67033136993556,9.67033136993556,Female,Hypertensive heart disease,hhd
26,2023,238.873990708976,238.873990708976,10.1483193326506,10.1483193326506,Female,Hypertensive heart disease,hhd
27,2023,236.739466371789,236.739466371789,10.511219688543,10.511219688543,Female,Hypertensive heart disease,hhd
28,2023,232.971506966076,232.971506966076,10.8112707283999,10.8112707283999,Female,Hypertensive heart disease,hhd
29,2023,230.038586957211,230.038586957211,11.1407232250899,11.1407232250899,Female,Hypertensive heart disease,hhd
30,2023,352.30417886133,352.30417886133,22.7670278736907,22.7670278736907,Female,Hypertensive heart disease,hhd
31,2023,348.140994748738,348.140994748738,23.5329185113349,23.5329185113349,Female,Hypertensive heart disease,hhd
32,2023,350.003806453309,350.003806453309,24.8580610488759,24.8580610488759,Female,Hypertensive heart disease,hhd
33,2023,345.260485677718,345.260485677718,25.9222870985339,25.9222870985339,Female,Hypertensive heart disease,hhd
34,2023,347.825666229398,347.825666229398,27.766762505727,27.766762505727,Female,Hypertensive heart disease,hhd
35,2023,640.144295415198,640.144295415198,43.7889926746792,43.7889926746792,Female,Hypertensive heart disease,hhd
36,2023,631.158665130017,631.158665130017,46.2175632247897,46.2175632247897,Female,Hypertensive heart disease,hhd
37,2023,627.452573491042,627.452573491042,49.1891551336547,49.1891551336547,Female,Hypertensive heart disease,hhd
38,2023,637.489983200854,637.489983200854,53.458290073556,53.458290073556,Female,Hypertensive heart disease,hhd
39,2023,651.765472893766,651.765472893766,58.4064780268574,58.4064780268574,Female,Hypertensive heart disease,hhd
40,2023,1186.0759019167,1186.0759019167,89.9730683271164,89.9730683271164,Female,Hypertensive heart disease,hhd
41,2023,1178.78359910358,1178.78359910358,95.7642698535994,95.7642698535994,Female,Hypertensive heart disease,hhd
42,2023,1162.07071632384,1162.07071632384,101.432686196616,101.432686196616,Female,Hypertensive heart disease,hhd
43,2023,1150.13033382769,1150.13033382769,108.304997446219,108.304997446219,Female,Hypertensive heart disease,hhd
44,2023,1137.05247308887,1137.05247308887,115.929868560059,115.929868560059,Female,Hypertensive heart disease,hhd
45,2023,1939.75223673513,1939.75223673513,164.936973836998,164.936973836998,Female,Hypertensive heart disease,hhd
46,2023,1892.74135142649,1892.74135142649,174.730688251956,174.730688251956,Female,Hypertensive heart disease,hhd
47,2023,1864.01066188991,1864.01066188991,186.560557272867,186.560557272867,Female,Hypertensive heart disease,hhd
48,2023,1834.96116051135,1834.96116051135,198.643132745726,198.643132745726,Female,Hypertensive heart disease,hhd
49,2023,1791.56809654004,1791.56809654004,209.239284713159,209.239284713159,Female,Hypertensive heart disease,hhd
50,2023,2440.72380879218,2440.72380879218,253.214714536594,253.214714536594,Female,Hypertensive heart disease,hhd
51,2023,2381.022645016,2381.022645016,265.878153254421,265.878153254421,Female,Hypertensive heart disease,hhd
52,2023,2332.57793246418,2332.57793246418,280.530286066565,280.530286066565,Female,Hypertensive heart disease,hhd
53,2023,2287.04683013033,2287.04683013033,296.700582245102,296.700582245102,Female,Hypertensive heart disease,hhd
54,2023,2235.57440793942,2235.57440793942,313.407215780062,313.407215780062,Female,Hypertensive heart disease,hhd
55,2023,2463.75417511386,2463.75417511386,372.263083504001,372.263083504001,Female,Hypertensive heart disease,hhd
56,2023,2395.10965499714,2395.10965499714,392.026157823889,392.026157823889,Female,Hypertensive heart disease,hhd
57,2023,2321.98952574529,2321.98952574529,411.838361080534,411.838361080534,Female,Hypertensive heart disease,hhd
58,2023,2230.86205081082,2230.86205081082,428.799785311503,428.799785311503,Female,Hypertensive heart disease,hhd
59,2023,2138.75336684155,2138.75336684155,445.620684240272,445.620684240272,Female,Hypertensive heart disease,hhd
60,2023,4212.08853437111,4212.08853437111,535.846720772087,535.846720772087,Female,Hypertensive heart disease,hhd
61,2023,4035.99914276052,4035.99914276052,557.888904191855,557.888904191855,Female,Hypertensive heart disease,hhd
62,2023,3855.69300867514,3855.69300867514,580.432568596924,580.432568596924,Female,Hypertensive heart disease,hhd
63,2023,3668.71485381448,3668.71485381448,603.168423133079,603.168423133079,Female,Hypertensive heart disease,hhd
64,2023,3470.58181521699,3470.58181521699,625.027620482214,625.027620482214,Female,Hypertensive heart disease,hhd
65,2023,8921.89344538894,8921.89344538894,667.633223694176,667.633223694176,Female,Hypertensive heart disease,hhd
66,2023,8376.28364110449,8376.28364110449,690.228802356513,690.228802356513,Female,Hypertensive heart disease,hhd
67,2023,7843.82689173604,7843.82689173604,713.199551931875,713.199551931875,Female,Hypertensive heart disease,hhd
68,2023,7305.51089714219,7305.51089714219,734.197283231844,734.197283231844,Female,Hypertensive heart disease,hhd
69,2023,6755.12209195858,6755.12209195858,751.508051113868,751.508051113868,Female,Hypertensive heart disease,hhd
70,2023,10265.3232811048,10265.3232811048,885.825622599736,885.825622599736,Female,Hypertensive heart disease,hhd
71,2023,9404.36584865502,9404.36584865502,900.939309913362,900.939309913362,Female,Hypertensive heart disease,hhd
72,2023,8563.19528247077,8563.19528247077,911.99922108539,911.99922108539,Female,Hypertensive heart disease,hhd
73,2023,7758.26727841307,7758.26727841307,919.67072551178,919.67072551178,Female,Hypertensive heart disease,hhd
74,2023,6885.60071050702,6885.60071050702,909.254471182964,909.254471182964,Female,Hypertensive heart disease,hhd
75,2023,8857.42257587789,8857.42257587789,980.458349480944,980.458349480944,Female,Hypertensive heart disease,hhd
76,2023,8290.86277481712,8290.86277481712,1022.41914882048,1022.41914882048,Female,Hypertensive heart disease,hhd
77,2023,7798.9828556408,7798.9828556408,1070.68943769521,1070.68943769521,Female,Hypertensive heart disease,hhd
78,2023,7110.56601063622,7110.56601063622,1085.62280693566,1085.62280693566,Female,Hypertensive heart disease,hhd
79,2023,6475.90962619508,6475.90962619508,1098.40740227962,1098.40740227962,Female,Hypertensive heart disease,hhd
80,2023,7872.59445500292,7872.59445500292,1171.54398239848,1171.54398239848,Female,Hypertensive heart disease,hhd
81,2023,7038.84201107716,7038.84201107716,1161.6560094272,1161.6560094272,Female,Hypertensive heart disease,hhd
82,2023,6217.16962569426,6217.16962569426,1137.17082191173,1137.17082191173,Female,Hypertensive heart disease,hhd
83,2023,5415.92675108237,5415.92675108237,1097.03125306763,1097.03125306763,Female,Hypertensive heart disease,hhd
84,2023,4643.81813530916,4643.81813530916,1040.51398624834,1040.51398624834,Female,Hypertensive heart disease,hhd
85,2023,5301.30537139122,5301.30537139122,969.309662315294,969.309662315294,Female,Hypertensive heart disease,hhd
86,2023,4377.76164754119,4377.76164754119,881.820599044634,881.820599044634,Female,Hypertensive heart disease,hhd
87,2023,3534.31822283265,3534.31822283265,782.129543876194,782.129543876194,Female,Hypertensive heart disease,hhd
88,2023,2785.6951178893,2785.6951178893,675.241007750818,675.241007750818,Female,Hypertensive heart disease,hhd
89,2023,2145.0990801866,2145.0990801866,567.988333140847,567.988333140847,Female,Hypertensive heart disease,hhd
90,2023,1791.67928094955,1791.67928094955,468.097762712952,468.097762712952,Female,Hypertensive heart disease,hhd
91,2023,1316.27971713932,1316.27971713932,374.073127290209,374.073127290209,Female,Hypertensive heart disease,hhd
92,2023,942.288040374989,942.288040374989,290.852638249091,290.852638249091,Female,Hypertensive heart disease,hhd
93,2023,656.231543043767,656.231543043767,219.66335654806,219.66335654806,Female,Hypertensive heart disease,hhd
94,2023,443.530694527836,443.530694527836,160.719556448722,160.719556448722,Female,Hypertensive heart disease,hhd
95,2023,717.340954646595,717.340954646595,336.12153617208,336.12153617208,Female,Hypertensive heart disease,hhd
0,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
1,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
2,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
3,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
4,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
5,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
6,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
7,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
8,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
9,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
10,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
11,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
12,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
13,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
14,2024,0,0,0,0,Female,Hypertensive heart disease,hhd
15,2024,60.2448092517443,60.2448092517443,2.03263163678074,0,Female,Hypertensive heart disease,hhd
16,2024,59.9917654287046,59.9917654287046,2.38777288594825,2.38777288594825,Female,Hypertensive heart disease,hhd
17,2024,59.1917066913169,59.1917066913169,2.7005911605909,2.7005911605909,Female,Hypertensive heart disease,hhd
18,2024,58.9634759159384,58.9634759159384,2.96585194653486,2.96585194653486,Female,Hypertensive heart disease,hhd
19,2024,57.59013725137,57.59013725137,3.05933094924274,3.05933094924274,Female,Hypertensive heart disease,hhd
20,2024,162.341735047651,162.341735047651,4.82260843155817,4.82260843155817,Female,Hypertensive heart disease,hhd
21,2024,159.65950684426,159.65950684426,4.76227490559038,4.76227490559038,Female,Hypertensive heart disease,hhd
22,2024,158.209946308785,158.209946308785,4.7197541913798,4.7197541913798,Female,Hypertensive heart disease,hhd
23,2024,157.684265612345,157.684265612345,4.74452820016038,4.74452820016038,Female,Hypertensive heart disease,hhd
24,2024,157.8985636242,157.8985636242,4.85061192482828,4.85061192482828,Female,Hypertensive heart disease,hhd
25,2024,233.307732976506,233.307732976506,9.51374148453446,9.51374148453446,Female,Hypertensive heart disease,hhd
26,2024,234.872889225345,234.872889225345,9.98396402924948,9.98396402924948,Female,Hypertensive heart disease,hhd
27,2024,235.596868570441,235.596868570441,10.4704280448431,10.4704280448431,Female,Hypertensive heart disease,hhd
28,2024,234.596525079852,234.596525079852,10.9011062939101,10.9011062939101,Female,Hypertensive heart disease,hhd
29,2024,232.092046456653,232.092046456653,11.2592041907095,11.2592041907095,Female,Hypertensive heart disease,hhd
30,2024,355.164575894713,355.164575894713,22.9105453416369,22.9105453416369,Female,Hypertensive heart disease,hhd
31,2024,350.815322967955,350.815322967955,23.6808141736306,23.6808141736306,Female,Hypertensive heart disease,hhd
32,2024,349.617474883011,349.617474883011,24.8058889623317,24.8058889623317,Female,Hypertensive heart disease,hhd
33,2024,345.151393754456,345.151393754456,25.8980629164225,25.8980629164225,Female,Hypertensive heart disease,hhd
34,2024,347.314447214476,347.314447214476,27.7192261939845,27.7192261939845,Female,Hypertensive heart disease,hhd
35,2024,637.097343370287,637.097343370287,43.3496402033249,43.3496402033249,Female,Hypertensive heart disease,hhd
36,2024,634.871031944652,634.871031944652,46.2656357058862,46.2656357058862,Female,Hypertensive heart disease,hhd
37,2024,632.161683895057,632.161683895057,49.3466353057472,49.3466353057472,Female,Hypertensive heart disease,hhd
38,2024,632.599884972097,632.599884972097,52.8533025289165,52.8533025289165,Female,Hypertensive heart disease,hhd
39,2024,637.779718523411,637.779718523411,56.9795477190733,56.9795477190733,Female,Hypertensive heart disease,hhd
40,2024,1171.48833116231,1171.48833116231,88.3748463790971,88.3748463790971,Female,Hypertensive heart disease,hhd
41,2024,1180.5826016262,1180.5826016262,95.4374126706673,95.4374126706673,Female,Hypertensive heart disease,hhd
42,2024,1170.34220783229,1170.34220783229,101.70680770804,101.70680770804,Female,Hypertensive heart disease,hhd
43,2024,1160.49507208071,1160.49507208071,108.854650363521,108.854650363521,Female,Hypertensive heart disease,hhd
44,2024,1145.37588308153,1145.37588308153,116.373418909534,116.373418909534,Female,Hypertensive heart disease,hhd
45,2024,1958.09007131665,1958.09007131665,165.756736723188,165.756736723188,Female,Hypertensive heart disease,hhd
46,2024,1922.78668994044,1922.78668994044,176.780927629706,176.780927629706,Female,Hypertensive heart disease,hhd
47,2024,1891.57852452992,1891.57852452992,188.626273943083,188.626273943083,Female,Hypertensive heart disease,hhd
48,2024,1853.1467639326,1853.1467639326,199.971652781391,199.971652781391,Female,Hypertensive heart disease,hhd
49,2024,1816.59677607896,1816.59677607896,211.596550354596,211.596550354596,Female,Hypertensive heart disease,hhd
50,2024,2463.45050950847,2463.45050950847,254.692196826965,254.692196826965,Female,Hypertensive heart disease,hhd
51,2024,2403.24697868828,2403.24697868828,267.556496010094,267.556496010094,Female,Hypertensive heart disease,hhd
52,2024,2369.5711733555,2369.5711733555,284.245513436722,284.245513436722,Female,Hypertensive heart disease,hhd
53,2024,2316.29461278492,2316.29461278492,299.832292491068,299.832292491068,Female,Hypertensive heart disease,hhd
54,2024,2265.55403006251,2265.55403006251,317.011295760385,317.011295760385,Female,Hypertensive heart disease,hhd
55,2024,2510.39547095603,2510.39547095603,378.221854815056,378.221854815056,Female,Hypertensive heart disease,hhd
56,2024,2445.79546694373,2445.79546694373,399.248639846538,399.248639846538,Female,Hypertensive heart disease,hhd
57,2024,2370.57192289213,2370.57192289213,419.416670144622,419.416670144622,Female,Hypertensive heart disease,hhd
58,2024,2289.62842621797,2289.62842621797,439.12003227607,439.12003227607,Female,Hypertensive heart disease,hhd
59,2024,2205.96062865861,2205.96062865861,458.739790376394,458.739790376394,Female,Hypertensive heart disease,hhd
60,2024,4341.41350966683,4341.41350966683,552.266347181205,552.266347181205,Female,Hypertensive heart disease,hhd
61,2024,4157.08796115732,4157.08796115732,574.741019587408,574.741019587408,Female,Hypertensive heart disease,hhd
62,2024,3975.13042790724,3975.13042790724,598.685965657634,598.685965657634,Female,Hypertensive heart disease,hhd
63,2024,3791.5609991666,3791.5609991666,623.803873459643,623.803873459643,Female,Hypertensive heart disease,hhd
64,2024,3600.24371555582,3600.24371555582,648.981429875781,648.981429875781,Female,Hypertensive heart disease,hhd
65,2024,9285.8017333321,9285.8017333321,695.455538800376,695.455538800376,Female,Hypertensive heart disease,hhd
66,2024,8737.41363649613,8737.41363649613,720.698789143362,720.698789143362,Female,Hypertensive heart disease,hhd
67,2024,8193.30092360475,8193.30092360475,745.812708945797,745.812708945797,Female,Hypertensive heart disease,hhd
68,2024,7646.18551926491,7646.18551926491,769.404745847564,769.404745847564,Female,Hypertensive heart disease,hhd
69,2024,7099.62233404202,7099.62233404202,790.943444858514,790.943444858514,Female,Hypertensive heart disease,hhd
70,2024,10842.9581648862,10842.9581648862,935.974289874156,935.974289874156,Female,Hypertensive heart disease,hhd
71,2024,9951.00477212955,9951.00477212955,953.729416900904,953.729416900904,Female,Hypertensive heart disease,hhd
72,2024,9070.89086832238,9070.89086832238,966.606196954962,966.606196954962,Female,Hypertensive heart disease,hhd
73,2024,8233.89326986922,8233.89326986922,976.694919360597,976.694919360597,Female,Hypertensive heart disease,hhd
74,2024,7374.74483020901,7374.74483020901,974.582121308558,974.582121308558,Female,Hypertensive heart disease,hhd
75,2024,9089.10846616735,9089.10846616735,1005.44572772031,1005.44572772031,Female,Hypertensive heart disease,hhd
76,2024,8238.49368187255,8238.49368187255,1015.39515858716,1015.39515858716,Female,Hypertensive heart disease,hhd
77,2024,7844.08722798477,7844.08722798477,1076.39488587948,1076.39488587948,Female,Hypertensive heart disease,hhd
78,2024,7199.94689478833,7199.94689478833,1098.8990662847,1098.8990662847,Female,Hypertensive heart disease,hhd
79,2024,6617.66499870586,6617.66499870586,1122.21150384134,1122.21150384134,Female,Hypertensive heart disease,hhd
80,2024,8018.3512672961,8018.3512672961,1192.16017080565,1192.16017080565,Female,Hypertensive heart disease,hhd
81,2024,7173.1653363207,7173.1653363207,1182.92253859154,1182.92253859154,Female,Hypertensive heart disease,hhd
82,2024,6347.60244319883,6347.60244319883,1160.29557929278,1160.29557929278,Female,Hypertensive heart disease,hhd
83,2024,5543.62869708841,5543.62869708841,1122.3250661784,1122.3250661784,Female,Hypertensive heart disease,hhd
84,2024,4769.2988032493,4769.2988032493,1068.20341195251,1068.20341195251,Female,Hypertensive heart disease,hhd
85,2024,5469.11079512393,5469.11079512393,998.922741563337,998.922741563337,Female,Hypertensive heart disease,hhd
86,2024,4540.02532223483,4540.02532223483,913.641095807232,913.641095807232,Female,Hypertensive heart disease,hhd
87,2024,3689.87961701117,3689.87961701117,815.888015909247,815.888015909247,Female,Hypertensive heart disease,hhd
88,2024,2931.03649647568,2931.03649647568,709.988329206563,709.988329206563,Female,Hypertensive heart disease,hhd
89,2024,2273.14205290899,2273.14205290899,601.569481581006,601.569481581006,Female,Hypertensive heart disease,hhd
90,2024,1909.83168661476,1909.83168661476,498.946095867384,498.946095867384,Female,Hypertensive heart disease,hhd
91,2024,1409.68494467017,1409.68494467017,400.665161212355,400.665161212355,Female,Hypertensive heart disease,hhd
92,2024,1014.19122151792,1014.19122151792,313.132093708752,313.132093708752,Female,Hypertensive heart disease,hhd
93,2024,710.063669095339,710.063669095339,237.783142619999,237.783142619999,Female,Hypertensive heart disease,hhd
94,2024,482.755479609704,482.755479609704,175.032289435021,175.032289435021,Female,Hypertensive heart disease,hhd
95,2024,798.668589053458,798.668589053458,374.314109370355,374.314109370355,Female,Hypertensive heart disease,hhd
0,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
1,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
2,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
3,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
4,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
5,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
6,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
7,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
8,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
9,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
10,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
11,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
12,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
13,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
14,2025,0,0,0,0,Female,Hypertensive heart disease,hhd
15,2025,60.6629040702164,60.6629040702164,2.0373234860016,0,Female,Hypertensive heart disease,hhd
16,2025,59.7903087215487,59.7903087215487,2.36931213071954,2.36931213071954,Female,Hypertensive heart disease,hhd
17,2025,59.2352720519767,59.2352720519767,2.69154149704545,2.69154149704545,Female,Hypertensive heart disease,hhd
18,2025,59.5372279130317,59.5372279130317,2.98369372052263,2.98369372052263,Female,Hypertensive heart disease,hhd
19,2025,58.4292470047839,58.4292470047839,3.09408569070955,3.09408569070955,Female,Hypertensive heart disease,hhd
20,2025,164.897511075371,164.897511075371,4.89174527516013,4.89174527516013,Female,Hypertensive heart disease,hhd
21,2025,160.166342100793,160.166342100793,4.77354895701146,4.77354895701146,Female,Hypertensive heart disease,hhd
22,2025,157.870770693151,157.870770693151,4.70858055098997,4.70858055098997,Female,Hypertensive heart disease,hhd
23,2025,157.373212059546,157.373212059546,4.73661060410961,4.73661060410961,Female,Hypertensive heart disease,hhd
24,2025,156.945814368481,156.945814368481,4.82501280578303,4.82501280578303,Female,Hypertensive heart disease,hhd
25,2025,229.455950096612,229.455950096612,9.3581810007548,9.3581810007548,Female,Hypertensive heart disease,hhd
26,2025,230.899007265745,230.899007265745,9.82062730235248,9.82062730235248,Female,Hypertensive heart disease,hhd
27,2025,234.454531965245,234.454531965245,10.4296456695385,10.4296456695385,Female,Hypertensive heart disease,hhd
28,2025,236.195779052494,236.195779052494,10.9900810264884,10.9900810264884,Female,Hypertensive heart disease,hhd
29,2025,234.115817690526,234.115817690526,11.3767618320592,11.3767618320592,Female,Hypertensive heart disease,hhd
30,2025,357.996901291931,357.996901291931,23.0513012650408,23.0513012650408,Female,Hypertensive heart disease,hhd
31,2025,353.462961259645,353.462961259645,23.8261802193316,23.8261802193316,Female,Hypertensive heart disease,hhd
32,2025,349.225514539284,349.225514539284,24.7532016113658,24.7532016113658,Female,Hypertensive heart disease,hhd
33,2025,345.034873690994,345.034873690994,25.873180945427,25.873180945427,Female,Hypertensive heart disease,hhd
34,2025,346.798512215938,346.798512215938,27.6712869190448,27.6712869190448,Female,Hypertensive heart disease,hhd
35,2025,634.055150098352,634.055150098352,42.912365797244,42.912365797244,Female,Hypertensive heart disease,hhd
