location,sex,cause,age.group,ir_mult,cf_mult,granularity
Indonesia,Female,Cardiomyopathy and myocarditis,20-24 years,1.18898834357969,1.20685151126236,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,25-29 years,1.38877564691938,0.753995741019025,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,30-34 years,1.39457880565897,1.21568445209414,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,35-39 years,1.42571793450043,0.698831373360008,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,40-44 years,0.854320337995887,1.19497863436118,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,45-49 years,1.10009178891778,0.987990622874349,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,50-54 years,0.750870505115017,0.53871838352643,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,55-59 years,1.43373246304691,0.533126352354884,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,60-64 years,0.511403914075345,0.864728477085009,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,65-69 years,0.882291530258954,0.812387669226155,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,70-74 years,0.771474362816662,1.1817599767819,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,75-79 years,0.585514683509246,0.700018228264526,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,80-84 years,0.561370434937999,0.824148596730083,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,85-89 years,0.562796278158203,0.887039464665577,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,90-94 years,0.969035185175017,1.41016713599674,age_group
Indonesia,Female,Cardiomyopathy and myocarditis,95+ years,0.839775189524517,0.869782629190013,age_group
Indonesia,Female,Hypertensive heart disease,20-24 years,0.958745155949146,0.72621323633939,age_group
Indonesia,Female,Hypertensive heart disease,25-29 years,0.830233646556735,1.04326663026586,age_group
Indonesia,Female,Hypertensive heart disease,30-34 years,1.18917113705538,0.89180794917047,age_group
Indonesia,Female,Hypertensive heart disease,35-39 years,1.03096826816909,0.708521004300565,age_group
Indonesia,Female,Hypertensive heart disease,40-44 years,1.18817325122654,0.861396601423621,age_group
Indonesia,Female,Hypertensive heart disease,45-49 years,0.990112181985751,0.537095429841429,age_group
Indonesia,Female,Hypertensive heart disease,50-54 years,1.32394682220183,1.11032616067678,age_group
Indonesia,Female,Hypertensive heart disease,55-59 years,1.05825338372961,0.800264681922272,age_group
Indonesia,Female,Hypertensive heart disease,60-64 years,0.805898686405271,0.967917130794376,age_group
Indonesia,Female,Hypertensive heart disease,65-69 years,0.89196979184635,0.630239222431555,age_group
Indonesia,Female,Hypertensive heart disease,70-74 years,0.940912189427763,0.945672173751518,age_group
Indonesia,Female,Hypertensive heart disease,75-79 years,0.587575265904889,0.727619257057086,age_group
Indonesia,Female,Hypertensive heart disease,80-84 years,0.527587740682066,0.531436651712284,age_group
Indonesia,Female,Hypertensive heart disease,85-89 years,0.52057493198663,0.736062002833933,age_group
Indonesia,Female,Hypertensive heart disease,90-94 years,1.39269808260724,0.743217167211697,age_group
Indonesia,Female,Hypertensive heart disease,95+ years,1.3282998863142,1.24728306080215,age_group
Indonesia,Female,Intracerebral hemorrhage,20-24 years,1.33537554810755,1.1382403599564,age_group
Indonesia,Female,Intracerebral hemorrhage,25-29 years,0.669585140189156,0.894648224115372,age_group
Indonesia,Female,Intracerebral hemorrhage,30-34 years,1.26588053279556,1.1390550066717,age_group
Indonesia,Female,Intracerebral hemorrhage,35-39 years,0.803368884837255,0.650304229697213,age_group
Indonesia,Female,Intracerebral hemorrhage,40-44 years,0.792040240718052,0.636894972296432,age_group
Indonesia,Female,Intracerebral hemorrhage,45-49 years,0.620667636627331,1.46099122427404,age_group
Indonesia,Female,Intracerebral hemorrhage,50-54 years,0.788448657374829,1.35753852128983,age_group
Indonesia,Female,Intracerebral hemorrhage,55-59 years,1.0945443531964,0.666533864103258,age_group
Indonesia,Female,Intracerebral hemorrhage,60-64 years,0.903185454430059,0.749156282050535,age_group
Indonesia,Female,Intracerebral hemorrhage,65-69 years,1.21755080064759,0.851289085811004,age_group
Indonesia,Female,Intracerebral hemorrhage,70-74 years,0.917936250567436,1.4423209214583,age_group
Indonesia,Female,Intracerebral hemorrhage,75-79 years,0.608393175993115,1.23776907264255,age_group
Indonesia,Female,Intracerebral hemorrhage,80-84 years,0.533296845387667,0.918258574791253,age_group
Indonesia,Female,Intracerebral hemorrhage,85-89 years,0.500612845178694,0.936564640840515,age_group
Indonesia,Female,Intracerebral hemorrhage,90-94 years,0.522394403116778,0.677485986845568,age_group
Indonesia,Female,Intracerebral hemorrhage,95+ years,1.46101695182733,0.533211393514648,age_group
Indonesia,Female,Ischemic heart disease,20-24 years,1.38032847456634,0.944182547973469,age_group
Indonesia,Female,Ischemic heart disease,25-29 years,1.247676379513,0.67428789101541,age_group
Indonesia,Female,Ischemic heart disease,30-34 years,0.660659188171849,1.15377439861186,age_group
Indonesia,Female,Ischemic heart disease,35-39 years,0.689422456547618,0.913346731103957,age_group
Indonesia,Female,Ischemic heart disease,40-44 years,0.570385002531111,1.47716360958293,age_group
Indonesia,Female,Ischemic heart disease,45-49 years,0.960543265100569,0.61529011814855,age_group
Indonesia,Female,Ischemic heart disease,50-54 years,0.55898013105616,0.875101265963167,age_group
Indonesia,Female,Ischemic heart disease,55-59 years,1.25741261406802,0.684433031827211,age_group
Indonesia,Female,Ischemic heart disease,60-64 years,0.536899740342051,1.29446163075045,age_group
Indonesia,Female,Ischemic heart disease,65-69 years,0.822271792218089,1.01715625077486,age_group
