age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
24,Female,rhd,2027,Indonesia,0.000940759421431444,0.00120217879773007,0.00117834429142198,0.0067726308994363,2.38345063080953e-05,2130662.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000394066445276692,0.00331009859500763,2130662.5,,,0,0
41,Female,hstroke,2012,Indonesia,0.00241979810831946,0.0035631629999824,0.00310599308614525,0.00585656746236314,0.000457169913837148,1801982,,,,,,,,,,,,,,,,,,,,,,,,,0.000590931174872763,0.0924403567446471,1801982,,,0,0
22,Female,istroke,2020,Indonesia,0.00104085964589774,0.00116358263886831,0.00115551882066311,0.0017695496611933,8.06381820519809e-06,2187723.5,,,,,,,,,,,,,,,,,,,,,,,,,6.8668957400531e-05,0.00417247427514624,2187723.5,,,0,0
60,Male,ihd,2036,Indonesia,0.0098525291662783,0.0206794947611504,0.0168443476910364,0.0605490487508827,0.00383514707011397,1084628,,,,,,,,,,,,,,,,,,,,,,,,,0.0050415115638935,0.0565313319648286,1084628,,,0,0
19,Female,istroke,2003,Indonesia,0.00127267656298061,0.00139848803997828,0.0013916209124217,0.00159137208582634,6.86712755658212e-06,2175131.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000151879610282316,0.00533452192894277,2175131.5,,,0,0
80,Female,ihd,2022,Indonesia,0.0261401670992932,0.0501073171266397,0.043154379662336,0.10596860718388,0.00695293746430373,293893,,,,,,,,,,,,,,,,,,,,,,,,,0.00638906406795381,0.0752394506022759,293893,,,0,0
9,Male,dm2,2033,Indonesia,0.000390309955130662,0.000573258926267138,0.000573258926267138,0,0,2462985,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2462985,,,0,0
35,Female,cmd,2037,Indonesia,0.00131834422122869,0.00207300364214063,0.00206155519238181,0.00013259821644196,1.14484497588275e-05,2104220,,,,,,,,,,,,,,,,,,,,,,,,,1.49875769113525e-05,0.0716247297554383,2104220,,,0,0
59,Female,istroke,2031,Indonesia,0.00539264538441559,0.0113368173468716,0.0107962500008392,0.021773881682249,0.0005405673460324,1208539,,,,,,,,,,,,,,,,,,,,,,,,,0.00319133989807515,0.0283868907148177,1208539,,,0,0
81,Male,hstroke,2046,Indonesia,0.0381181708021507,0.0769597799288929,0.0708460555912567,0.0079279518374762,0.00611372433763621,163265,,,,,,,,,,,,,,,,,,,,,,,,,0.00752670737598896,1.06938355530818,163265,,,0,0
