who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_CVD_PRIMARY,872592929.282484,0.000217253801867784,10184349881.8739,0.00239715345056439,66487353514.7495,0.0149149889484051,152222105527.948,0.0352267384899485,1523965276322.14,0.0135425718149282
World,I_CVD_PRIMARY,872592929.282484,0.000217253801867784,10184349881.8739,0.00239715345056439,66487353514.7495,0.0149149889484051,152222105527.948,0.0352267384899485,1523965276322.14,0.0135425718149282
South-East Asia,I_HF_ACUTE,542307019.701828,0.000135020876122259,1292925591.40949,0.000304323896833756,3403142420.90564,0.000763420844934011,6306940138.95658,0.00145953132218364,78211627775.7324,0.00069502015719904
World,I_HF_ACUTE,542307019.701828,0.000135020876122259,1292925591.40949,0.000304323896833756,3403142420.90564,0.000763420844934011,6306940138.95658,0.00145953132218364,78211627775.7324,0.00069502015719904
South-East Asia,I_HF_CHRONIC,628182653.325083,0.000156401759769572,1609471468.48844,0.00037883125864899,3964582759.48202,0.000889367750659442,6340920139.41463,0.00146739486201494,87734300483.544,0.000779642478336714
World,I_HF_CHRONIC,628182653.325083,0.000156401759769572,1609471468.48844,0.00037883125864899,3964582759.48202,0.000889367750659442,6340920139.41463,0.00146739486201494,87734300483.544,0.000779642478336714
South-East Asia,I_IHD_SECONDARY,1316457674.87743,0.000327765015355237,3411535569.76011,0.000802994237003654,7248757073.96798,0.00162610069332842,10620612368.5659,0.00245778714735946,159873913827.285,0.00142070425945977
World,I_IHD_SECONDARY,1316457674.87743,0.000327765015355237,3411535569.76011,0.000802994237003654,7248757073.96798,0.00162610069332842,10620612368.5659,0.00245778714735946,159873913827.285,0.00142070425945977
South-East Asia,I_PH_SALT_ENV,-0.000526856210009511,-1.31174011181064e-16,1767085942.60731,0.000415929952711474,5871378509.58323,0.00131711582658965,7981779230.13798,0.00184711707047667,118587879969.469,0.00105381986441478
World,I_PH_SALT_ENV,-0.000526856210009511,-1.31174011181064e-16,1767085942.60731,0.000415929952711474,5871378509.58323,0.00131711582658965,7981779230.13798,0.00184711707047667,118587879969.469,0.00105381986441478
