valuation_type,elasticity_case,who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
VSL,e1_2_primary,South-East Asia,I_CVD_PRIMARY,2358801453.00664,0.000587282530398601,26735560584.2559,0.00629291432940538,153231964014.678,0.0343742520795979,310424148811.893,0.0718373344872285,3369204756092.79,0.0299401161414255
VSL,e1_2_primary,World,I_CVD_PRIMARY,2358801453.00664,0.000587282530398601,26735560584.2559,0.00629291432940538,153231964014.678,0.0343742520795979,310424148811.893,0.0718373344872285,3369204756092.79,0.0299401161414255
VSL,e1_2_primary,South-East Asia,I_HF_ACUTE,1040723233.42657,0.000259114039968183,2810873616.18798,0.000661612716206645,7245029170.1402,0.00162526441933866,12180432572.5232,0.00281875560345568,161454137669.317,0.00143474676764344
VSL,e1_2_primary,World,I_HF_ACUTE,1040723233.42657,0.000259114039968183,2810873616.18798,0.000661612716206645,7245029170.1402,0.00162526441933866,12180432572.5232,0.00281875560345568,161454137669.317,0.00143474676764344
VSL,e1_2_primary,South-East Asia,I_HF_CHRONIC,1232649452.84375,0.000306898865454655,3456892013.79617,0.000813670063893683,8343637604.14169,0.00187171328195014,12117357238.884,0.00280415891741216,179817657721.352,0.00159793243397288
VSL,e1_2_primary,World,I_HF_CHRONIC,1232649452.84375,0.000306898865454655,3456892013.79617,0.000813670063893683,8343637604.14169,0.00187171328195014,12117357238.884,0.00280415891741216,179817657721.352,0.00159793243397288
VSL,e1_2_primary,South-East Asia,I_IHD_SECONDARY,2359403785.58508,0.000587432496136649,7385581482.37264,0.00173839001411413,19618507197.5336,0.00440098458679828,28930011616.0929,0.0066948880399251,418116779584.933,0.00371555481120985
VSL,e1_2_primary,World,I_IHD_SECONDARY,2359403785.58508,0.000587432496136649,7385581482.37264,0.00173839001411413,19618507197.5336,0.00440098458679828,28930011616.0929,0.0066948880399251,418116779584.933,0.00371555481120985
VSL,e1_2_primary,South-East Asia,I_PH_SALT_ENV,0.000378718356022886,9.42913928385192e-17,4378951892.01997,0.00103070100296669,12927662163.6148,0.00290003930230514,15089186667.4955,0.00349188989942259,254240631291.103,0.00225928507757197
VSL,e1_2_primary,World,I_PH_SALT_ENV,0.000378718356022886,9.42913928385192e-17,4378951892.01997,0.00103070100296669,12927662163.6148,0.00290003930230514,15089186667.4955,0.00349188989942259,254240631291.103,0.00225928507757197
VSL,e1_2_primary,South-East Asia,I_PH_SALT_FOPL,0.000378718356022886,9.42913928385192e-17,6247791901.79306,0.00147058144010226,18440896931.8591,0.00413681338476408,21531184893.6165,0.00498267591947677,362697148268.536,0.00322307355279796
VSL,e1_2_primary,World,I_PH_SALT_FOPL,0.000378718356022886,9.42913928385192e-17,6247791901.79306,0.00147058144010226,18440896931.8591,0.00413681338476408,21531184893.6165,0.00498267591947677,362697148268.536,0.00322307355279796
VSL,e1_2_primary,South-East Asia,I_PH_SALT_MEDIA,0.000378718356022886,9.42913928385192e-17,0.000308304458715726,7.25675281787161e-17,-0.000760519265629997,-1.70605924920808e-16,8.23685948042096e-05,1.90614690217886e-17,0.00476324921777035,4.23281590507972e-17
