who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_CVD_PRIMARY,1381209210.89962,0.000333870414904722,17968249007.0388,0.00410611451745457,100450518494.238,0.0218775581815679,203003876284.894,0.0456101831904827,2206467268094,0.0197303721663025
World,I_CVD_PRIMARY,1381209210.89962,0.000333870414904722,17968249007.0388,0.00410611451745457,100450518494.238,0.0218775581815679,203003876284.894,0.0456101831904827,2206467268094,0.0197303721663025
South-East Asia,I_HF_ACUTE,458559349.128433,0.000110844467980511,1412428272.97963,0.000322768915005188,3421145857.48632,0.000745106333613202,5298302044.89906,0.00119040350996656,74385538017.5549,0.000665160263240522
World,I_HF_ACUTE,458559349.128433,0.000110844467980511,1412428272.97963,0.000322768915005188,3421145857.48632,0.000745106333613202,5298302044.89906,0.00119040350996656,74385538017.5549,0.000665160263240522
South-East Asia,I_HF_CHRONIC,673513588.97293,0.000162803910964291,2090820089.17725,0.000477795399996586,5005623660.57345,0.00109019669097587,7504587883.36271,0.00168610390300572,108006850768.654,0.000965804203393719
World,I_HF_CHRONIC,673513588.97293,0.000162803910964291,2090820089.17725,0.000477795399996586,5005623660.57345,0.00109019669097587,7504587883.36271,0.00168610390300572,108006850768.654,0.000965804203393719
South-East Asia,I_IHD_SECONDARY,1339075283.79828,0.000323685664027101,4760577997.93464,0.00108789000091978,12613466356.8685,0.00274714205790255,19023146930.6323,0.00427405245773709,268519834827.64,0.00240112162631805
World,I_IHD_SECONDARY,1339075283.79828,0.000323685664027101,4760577997.93464,0.00108789000091978,12613466356.8685,0.00274714205790255,19023146930.6323,0.00427405245773709,268519834827.64,0.00240112162631805
South-East Asia,I_PH_ALCOHOL_POLICY,0,0,147427.250929187,3.36901595181374e-08,421890.246568919,9.18853237783634e-08,476191.654844743,1.06989033947151e-07,8251773.51966795,7.37878893239727e-08
World,I_PH_ALCOHOL_POLICY,0,0,147427.250929187,3.36901595181374e-08,421890.246568919,9.18853237783634e-08,476191.654844743,1.06989033947151e-07,8251773.51966795,7.37878893239727e-08
South-East Asia,I_PH_ALCOHOL_TAX,0,0,268547.739688929,6.13686827322107e-08,768498.811738708,1.67374720591848e-07,867412.157280681,1.94887053977735e-07,15031108.787014,1.3440914113181e-07
World,I_PH_ALCOHOL_TAX,0,0,268547.739688929,6.13686827322107e-08,768498.811738708,1.67374720591848e-07,867412.157280681,1.94887053977735e-07,15031108.787014,1.3440914113181e-07
South-East Asia,I_PH_SALT_POLICY,0,0,24004404890.7462,0.00548550030479537,73764782992.5176,0.0160655550201277,85889686299.6192,0.0192973868183729,1439415915727.02,0.0128713496592796
World,I_PH_SALT_POLICY,0,0,24004404890.7462,0.00548550030479537,73764782992.5176,0.0160655550201277,85889686299.6192,0.0192973868183729,1439415915727.02,0.0128713496592796
South-East Asia,I_PH_SSB_TAX,0,0,588530366.565898,0.000134491295238197,2049654095.0699,0.00044640313847213,2518893231.52984,0.000565935901470726,39999830337.6554,0.00035768105449062
World,I_PH_SSB_TAX,0,0,588530366.565898,0.000134491295238197,2049654095.0699,0.00044640313847213,2518893231.52984,0.000565935901470726,39999830337.6554,0.00035768105449062
South-East Asia,I_PH_TOBACCO_POLICY,0,0,962748647.692458,0.000220007870405245,8469250801.34706,0.00184455520925349,15735790472.1064,0.00353546099323047,176621068946.017,0.00157935695358188
