who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,all_four,7017504260.09023,0.00169629411708452,80682281759.287,0.0184375610725002,215257519113.212,0.046881877455808,296043718606.706,0.0665140414318697,4227822041226.09,0.0378054565016705
World,all_four,7017504260.09023,0.00169629411708452,80682281759.287,0.0184375610725002,215257519113.212,0.046881877455808,296043718606.706,0.0665140414318697,4227822041226.09,0.0378054565016705
South-East Asia,bp_only,6241015288.37495,0.00150859865928587,53803406492.3983,0.0122951851569066,160168607167.173,0.0348838221513164,181190112247.969,0.0407091448851755,2990871453609.35,0.0267445648229614
World,bp_only,6241015288.37495,0.00150859865928587,53803406492.3983,0.0122951851569066,160168607167.173,0.0348838221513164,181190112247.969,0.0407091448851755,2990871453609.35,0.0267445648229614
South-East Asia,bp_sodium,6241015288.37495,0.00150859865928587,76740370290.026,0.0175367532139207,203446433253.527,0.0443094893590998,271427011119.022,0.0609832478401054,3961216932100,0.0354214564756744
World,bp_sodium,6241015288.37495,0.00150859865928587,76740370290.026,0.0175367532139207,203446433253.527,0.0443094893590998,271427011119.022,0.0609832478401054,3961216932100,0.0354214564756744
South-East Asia,bp_sodium_tfa,6241015288.37495,0.00150859865928587,76740370290.026,0.0175367532139207,203446433253.527,0.0443094893590998,271427011119.022,0.0609832478401054,3961216932100,0.0354214564756744
World,bp_sodium_tfa,6241015288.37495,0.00150859865928587,76740370290.026,0.0175367532139207,203446433253.527,0.0443094893590998,271427011119.022,0.0609832478401054,3961216932100,0.0354214564756744
South-East Asia,sodium_only,0,0,30946337463.5975,0.00707187469806037,66364078501.9346,0.0144537231898459,76833139887.5968,0.0172625944366464,1355550959782.02,0.0121214238314948
World,sodium_only,0,0,30946337463.5975,0.00707187469806037,66364078501.9346,0.0144537231898459,76833139887.5968,0.0172625944366464,1355550959782.02,0.0121214238314948
South-East Asia,statins_only,782328125.556989,0.000189106917192669,4146867542.892,0.000947644537492758,13972618479.8959,0.00304315774895984,25185034662.4706,0.0056584833040423,306462196792.775,0.00274040466634581
World,statins_only,782328125.556989,0.000189106917192669,4146867542.892,0.000947644537492758,13972618479.8959,0.00304315774895984,25185034662.4706,0.0056584833040423,306462196792.775,0.00274040466634581
South-East Asia,tfa_only,0,0,0,0,0,0,0,0,0,0
World,tfa_only,0,0,0,0,0,0,0,0,0,0
