who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_PH_TOBACCO_POLICY,5677855643.54716,0.00141364396114393,30954737794.4585,0.00728600817685661,62427730345.0312,0.0140043009527158,60273318612.6251,0.0139482529513328,1113675848941.34,0.00989657402118599
World,I_PH_TOBACCO_POLICY,5677855643.54716,0.00141364396114393,30954737794.4585,0.00728600817685661,62427730345.0312,0.0140043009527158,60273318612.6251,0.0139482529513328,1113675848941.34,0.00989657402118599
South-East Asia,I_PH_TOBACCO_TAX,12419456208.0418,0.00309213378630766,68633442723.7175,0.0161546781048925,140373430585.616,0.0314897203025191,135005672902.298,0.0312425683345683,2488546577126.54,0.0221142313799059
World,I_PH_TOBACCO_TAX,12419456208.0418,0.00309213378630766,68633442723.7175,0.0161546781048925,140373430585.616,0.0314897203025191,135005672902.298,0.0312425683345683,2488546577126.54,0.0221142313799059
South-East Asia,I_PH_TOB_AD_BAN,1421674303.72505,0.000353961322785386,7792375694.07142,0.00183413968488879,15734432592.0736,0.00352967708615659,15136097887.2621,0.00350274593945194,280158599331.207,0.00248960262412867
World,I_PH_TOB_AD_BAN,1421674303.72505,0.000353961322785386,7792375694.07142,0.00183413968488879,15734432592.0736,0.00352967708615659,15136097887.2621,0.00350274593945194,280158599331.207,0.00248960262412867
South-East Asia,I_PH_TOB_CLEAN_AIR,1954898135.08819,0.000486720712327315,10719239548.5973,0.00252305374121909,21656951875.0957,0.00485826523086886,20833322726.6006,0.00482117895440566,385535172483.666,0.00342602147283908
World,I_PH_TOB_CLEAN_AIR,1954898135.08819,0.000486720712327315,10719239548.5973,0.00252305374121909,21656951875.0957,0.00485826523086886,20833322726.6006,0.00482117895440566,385535172483.666,0.00342602147283908
South-East Asia,I_PH_TOB_MEDIA,2310409782.97031,0.000575234215610207,12671919392.2458,0.00298266807883926,25612078293.5393,0.00574551165747756,24637961357.5422,0.00570163590010418,455883342438.031,0.00405116376345278
World,I_PH_TOB_MEDIA,2310409782.97031,0.000575234215610207,12671919392.2458,0.00298266807883926,25612078293.5393,0.00574551165747756,24637961357.5422,0.00570163590010418,455883342438.031,0.00405116376345278
South-East Asia,S_70_30_30_TO_70_70_70,1451840912.43482,0.000361472053404121,8043111267.6621,0.00189315686835004,136683889506.185,0.030662052159401,218085670953.616,0.0504686679536007,2597891918826,0.023085918311098
World,S_70_30_30_TO_70_70_70,1451840912.43482,0.000361472053404121,8043111267.6621,0.00189315686835004,136683889506.185,0.030662052159401,218085670953.616,0.0504686679536007,2597891918826,0.023085918311098
South-East Asia,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,13868551042.9824,0.00345292213513909,76609495608.0243,0.0180320510266073,268497706261.673,0.0602316096199646,341003644983.299,0.0789139408122327,4939744393640.19,0.043896566567256
World,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,13868551042.9824,0.00345292213513909,76609495608.0243,0.0180320510266073,268497706261.673,0.0602316096199646,341003644983.299,0.0789139408122327,4939744393640.19,0.043896566567256
South-East Asia,all_cascade_public_health,19484279166.3243,0.00485109789855616,105996844382.992,0.0249491331512338,323452370884.406,0.072559491121964,393756714855.608,0.0911218825595147,5937578044313.54,0.0527637199621207
World,all_cascade_public_health,19484279166.3243,0.00485109789855616,105996844382.992,0.0249491331512338,323452370884.406,0.072559491121964,393756714855.608,0.0911218825595147,5937578044313.54,0.0527637199621207
South-East Asia,all_public_health,18036425826.0844,0.00449061865083551,98049553934.1704,0.0230785302219358,198846248331.46,0.0446068227943171,192900461792.9,0.0446403897686278,3547745776339.76,0.0315267038584634
World,all_public_health,18036425826.0844,0.00449061865083551,98049553934.1704,0.0230785302219358,198846248331.46,0.0446068227943171,192900461792.9,0.0446403897686278,3547745776339.76,0.0315267038584634
