who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_PH_TOBACCO_POLICY,3456053711.95002,0.000860470883024243,19361971127.1971,0.00455734695249378,41324097432.925,0.00927016077393069,41763468026.3634,0.00966476426991688,738213455552.377,0.0065600633373297
World,I_PH_TOBACCO_POLICY,3456053711.95002,0.000860470883024243,19361971127.1971,0.00455734695249378,41324097432.925,0.00927016077393069,41763468026.3634,0.00966476426991688,738213455552.377,0.0065600633373297
South-East Asia,I_PH_TOBACCO_TAX,7559598274.91997,0.00188215078383683,42929736481.7171,0.010104637716947,92920330283.5697,0.0208446512907774,93545622398.3622,0.0216480199487292,1649803328283.3,0.0146608196400017
World,I_PH_TOBACCO_TAX,7559598274.91997,0.00188215078383683,42929736481.7171,0.010104637716947,92920330283.5697,0.0208446512907774,93545622398.3622,0.0216480199487292,1649803328283.3,0.0146608196400017
South-East Asia,I_PH_TOB_AD_BAN,865358871.910905,0.000215452702621888,4874076278.81419,0.0011472414936243,10415423112.3412,0.00233647321485086,10487823712.2017,0.00242705763369289,185705318336.268,0.00165025256746822
World,I_PH_TOB_AD_BAN,865358871.910905,0.000215452702621888,4874076278.81419,0.0011472414936243,10415423112.3412,0.00233647321485086,10487823712.2017,0.00242705763369289,185705318336.268,0.00165025256746822
South-East Asia,I_PH_TOB_CLEAN_AIR,1189926863.31047,0.000296262009837025,6704809067.47024,0.00157815239832514,14335840570.2131,0.00321593344249133,14435438890.7506,0.00334060174130716,255556786655.009,0.00227098096645621
World,I_PH_TOB_CLEAN_AIR,1189926863.31047,0.000296262009837025,6704809067.47024,0.00157815239832514,14335840570.2131,0.00321593344249133,14435438890.7506,0.00334060174130716,255556786655.009,0.00227098096645621
South-East Asia,I_PH_TOB_MEDIA,1406323233.25003,0.000350139290413223,7926196598.01332,0.00186563793910852,16953940388.5466,0.0038032470862447,17071678398.9219,0.00395067160881513,302189358265.799,0.00268537685838755
World,I_PH_TOB_MEDIA,1406323233.25003,0.000350139290413223,7926196598.01332,0.00186563793910852,16953940388.5466,0.0038032470862447,17071678398.9219,0.00395067160881513,302189358265.799,0.00268537685838755
South-East Asia,S_70_30_30_TO_70_70_70,883720983.692808,0.0002200244089251,5030909619.43751,0.00118415632746242,90478034941.3156,0.0202967755503123,151111870982.52,0.0349698116667473,1748128308815.2,0.015534575184661
World,S_70_30_30_TO_70_70_70,883720983.692808,0.0002200244089251,5030909619.43751,0.00118415632746242,90478034941.3156,0.0202967755503123,151111870982.52,0.0349698116667473,1748128308815.2,0.015534575184661
South-East Asia,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,8441647748.81874,0.00210175902865445,47918701553.2478,0.0112789212966235,177732320440.789,0.0398703731614268,236281909673.218,0.0546795816093604,3298971572034.97,0.0293159956619946
World,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,8441647748.81874,0.00210175902865445,47918701553.2478,0.0112789212966235,177732320440.789,0.0398703731614268,236281909673.218,0.0546795816093604,3298971572034.97,0.0293159956619946
South-East Asia,all_cascade_public_health,11859885063.1181,0.0029528145750574,66300281854.9117,0.015605507594035,214109614677.056,0.0480308264329869,272834586672.211,0.0631384817755696,3959651928595.67,0.0351870685233322
World,all_cascade_public_health,11859885063.1181,0.0029528145750574,66300281854.9117,0.015605507594035,214109614677.056,0.0480308264329869,272834586672.211,0.0631384817755696,3959651928595.67,0.0351870685233322
South-East Asia,all_public_health,10978591274.5762,0.00273339447698186,61329307484.8082,0.0144354585970765,131626469436.028,0.029527530171891,133661003803.945,0.0309313894389743,2351884930195.39,0.0208998007123135
World,all_public_health,10978591274.5762,0.00273339447698186,61329307484.8082,0.0144354585970765,131626469436.028,0.029527530171891,133661003803.945,0.0309313894389743,2351884930195.39,0.0208998007123135
