who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_PH_TOBACCO_POLICY,2540433876.22881,0.000632504458245213,14177877474.8038,0.00333713475132019,24802987614.9696,0.0055640097944737,24788221646.894,0.00573640864155367,470946029664.523,0.00418501689426877
World,I_PH_TOBACCO_POLICY,2540433876.22881,0.000632504458245213,14177877474.8038,0.00333713475132019,24802987614.9696,0.0055640097944737,24788221646.894,0.00573640864155367,470946029664.523,0.00418501689426877
South-East Asia,I_PH_TOBACCO_TAX,5557871421.01717,0.00138377089246089,31442984577.0223,0.00740092984324917,55498303306.2329,0.0124498349943207,55187301051.7471,0.0127712635124405,1048278328353.36,0.00931542520313792
World,I_PH_TOBACCO_TAX,5557871421.01717,0.00138377089246089,31442984577.0223,0.00740092984324917,55498303306.2329,0.0124498349943207,55187301051.7471,0.0127712635124405,1048278328353.36,0.00931542520313792
South-East Asia,I_PH_TOB_AD_BAN,636371962.805778,0.000158440692884485,3577064626.20429,0.000841955835282014,6267411709.80401,0.00140595724517888,6254270280.56102,0.00144734263696234,118839418632.9,0.00105605513871313
World,I_PH_TOB_AD_BAN,636371962.805778,0.000158440692884485,3577064626.20429,0.000841955835282014,6267411709.80401,0.00140595724517888,6254270280.56102,0.00144734263696234,118839418632.9,0.00105605513871313
South-East Asia,I_PH_TOB_CLEAN_AIR,875044168.195763,0.000217864099012449,4920162851.82916,0.00115808917549,8623456149.94006,0.00193448447523001,8604004129.97625,0.00199111030820332,163484933116.75,0.00145279323734691
World,I_PH_TOB_CLEAN_AIR,875044168.195763,0.000217864099012449,4920162851.82916,0.00115808917549,8623456149.94006,0.00193448447523001,8604004129.97625,0.00199111030820332,163484933116.75,0.00145279323734691
South-East Asia,I_PH_TOB_MEDIA,1034168889.75791,0.000257482172423788,5816078492.25383,0.00136896638353653,10195923003.7887,0.00228723314858009,10171837161.9798,0.00235393306658483,193273368180.239,0.00171750531928831
World,I_PH_TOB_MEDIA,1034168889.75791,0.000257482172423788,5816078492.25383,0.00136896638353653,10195923003.7887,0.00228723314858009,10171837161.9798,0.00235393306658483,193273368180.239,0.00171750531928831
South-East Asia,S_70_30_30_TO_70_70_70,508051221.928759,0.000126492039762866,2887919622.56352,0.000679747511473649,48629525308.8854,0.010908974326784,80001743776.7631,0.0185137401495637,944755768630.172,0.0083954818676179
World,S_70_30_30_TO_70_70_70,508051221.928759,0.000126492039762866,2887919622.56352,0.000679747511473649,48629525308.8854,0.010908974326784,80001743776.7631,0.0185137401495637,944755768630.172,0.0083954818676179
South-East Asia,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,6064647919.42953,0.00150994555796942,34296180705.9031,0.00807250427115219,100608735582.452,0.0225693774830788,129561654009.968,0.0299827314062239,1928633050528.33,0.0171386133248767
World,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,6064647919.42953,0.00150994555796942,34296180705.9031,0.00807250427115219,100608735582.452,0.0225693774830788,129561654009.968,0.0299827314062239,1928633050528.33,0.0171386133248767
South-East Asia,all_cascade_public_health,8570161841.6105,0.00213375582156401,47552115967.0447,0.0111926357788353,122056820710.981,0.027380788010729,150355082047.206,0.0347946780629652,2341532358439.71,0.0208078035725829
World,all_cascade_public_health,8570161841.6105,0.00213375582156401,47552115967.0447,0.0111926357788353,122056820710.981,0.027380788010729,150355082047.206,0.0347946780629652,2341532358439.71,0.0208078035725829
South-East Asia,all_public_health,8063959951.17154,0.0020077242190607,44713578498.2593,0.010524511650464,78379342575.7526,0.0175826975582849,78322777230.3762,0.0181251992391761,1487736930362.32,0.0132206320801326
World,all_public_health,8063959951.17154,0.0020077242190607,44713578498.2593,0.010524511650464,78379342575.7526,0.0175826975582849,78322777230.3762,0.0181251992391761,1487736930362.32,0.0132206320801326
