who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,I_PH_TOBACCO_POLICY,1546336588.86387,0.000384999111984758,8868162803.86108,0.00208735435369104,16418362018.9905,0.00368310174971596,17175793966.7125,0.00397476569072636,311771692246.065,0.00277052935372233
World,I_PH_TOBACCO_POLICY,1546336588.86387,0.000384999111984758,8868162803.86108,0.00208735435369104,16418362018.9905,0.00368310174971596,17175793966.7125,0.00397476569072636,311771692246.065,0.00277052935372233
South-East Asia,I_PH_TOBACCO_TAX,3383020520.60401,0.000842287446108813,19667366061.2365,0.00462922964784585,36737156396.8981,0.00824118050561319,38239359238.6856,0.00884922661693874,694029609748.729,0.00616742781331063
World,I_PH_TOBACCO_TAX,3383020520.60401,0.000842287446108813,19667366061.2365,0.00462922964784585,36737156396.8981,0.00824118050561319,38239359238.6856,0.00884922661693874,694029609748.729,0.00616742781331063
South-East Asia,I_PH_TOB_AD_BAN,387353223.172441,9.64412586624455e-05,2237428805.65069,0.000526637462780376,4148719338.61377,0.000930674779704263,4333592755.51376,0.00100286576769489,78674800293.565,0.000699136095523165
World,I_PH_TOB_AD_BAN,387353223.172441,9.64412586624455e-05,2237428805.65069,0.000526637462780376,4148719338.61377,0.000930674779704263,4333592755.51376,0.00100286576769489,78674800293.565,0.000699136095523165
South-East Asia,I_PH_TOB_CLEAN_AIR,532630597.794462,0.000132611689229603,3077527314.58375,0.000724376647201673,5708305270.41647,0.00128053389887894,5961726675.28704,0.00137964315899131,108231583784.66,0.000961789627900517
World,I_PH_TOB_CLEAN_AIR,532630597.794462,0.000132611689229603,3077527314.58375,0.000724376647201673,5708305270.41647,0.00128053389887894,5961726675.28704,0.00137964315899131,108231583784.66,0.000961789627900517
South-East Asia,I_PH_TOB_MEDIA,629488217.843833,0.000156726812661664,3637916256.57672,0.000856278860061373,6749201249.16412,0.00151403622975479,7048080408.74548,0.00163104356331099,127952585907.969,0.0011370384289505
World,I_PH_TOB_MEDIA,629488217.843833,0.000156726812661664,3637916256.57672,0.000856278860061373,6749201249.16412,0.00151403622975479,7048080408.74548,0.00163104356331099,127952585907.969,0.0011370384289505
South-East Asia,S_70_30_30_TO_70_70_70,309245676.825747,7.69944343427288e-05,1806373445.02885,0.000425177295260209,32190362053.4432,0.00722120627294567,55433321827.6504,0.0128281968304089,635885189293.025,0.00565073297656272
World,S_70_30_30_TO_70_70_70,309245676.825747,7.69944343427288e-05,1806373445.02885,0.000425177295260209,32190362053.4432,0.00722120627294567,55433321827.6504,0.0128281968304089,635885189293.025,0.00565073297656272
South-East Asia,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,3691490286.02638,0.00091908869793007,21452020204.7942,0.00504929473672377,66598051360.0967,0.0149398215978141,89773453979.9284,0.0207750771527053,1286447093284.39,0.0114318891759492
World,S_70_30_30_TO_70_70_70_I_PH_TOBACCO_TAX,3691490286.02638,0.00091908869793007,21452020204.7942,0.00504929473672377,66598051360.0967,0.0149398215978141,89773453979.9284,0.0207750771527053,1286447093284.39,0.0114318891759492
South-East Asia,all_cascade_public_health,5216571449.5352,0.00129879574094001,29743514627.86,0.00700091508531007,80795632382.2225,0.0181247395234783,104181249783.788,0.0241092818218553,1559390269860.14,0.0138573726351867
World,all_cascade_public_health,5216571449.5352,0.00129879574094001,29743514627.86,0.00700091508531007,80795632382.2225,0.0181247395234783,104181249783.788,0.0241092818218553,1559390269860.14,0.0138573726351867
South-East Asia,all_public_health,4908451442.21589,0.00122208157013336,27968029373.2593,0.00658300813456133,51883282820.4335,0.0116388839225203,54269963524.3186,0.0125589762820566,984899721738.523,0.00875221727120727
World,all_public_health,4908451442.21589,0.00122208157013336,27968029373.2593,0.00658300813456133,51883282820.4335,0.0116388839225203,54269963524.3186,0.0125589762820566,984899721738.523,0.00875221727120727
