location,year,gni_pc_usa,iso3,gni_pc_ppp,scenario,scenario_label,intervention_family,htn_target_scenario,deaths_baseline,deaths_intervention,deaths_averted,life_years_gained_undisc,life_years_gained_disc,avg_age_of_death_averted,who_region,population,age_ref_5y,adult_population,avg_adult_age,le_avg_adult,le_avg_adult_disc,total_national_gni,vsl_preferred,vsl_transfer_prefloor,vsl_floor,vsl_gni100,vsl_gni160,vsl_e1_0,vsl_e1_5,vsl_e1_2,vsl_preferred_gni_ratio,vsly_preferred,vsly_gni100,vsly_gni160,vsly_e1_0,vsly_e1_2,vsly_e1_5,economic_value_preferred,economic_value_gni100,economic_value_gni160,economic_value_e1_0,economic_value_e1_2,economic_value_e1_5,vsly_value_preferred,vsly_value_gni100,vsly_value_gni160,vsly_value_e1_0,vsly_value_e1_2,vsly_value_e1_5,disc_bca_primary,disc_bca_3pct,disc_bca_2xg,disc_r1,disc_r3,disc_r5,gni_pc_disc_r3,economic_value_preferred_disc,vsly_value_preferred_disc,economic_value_e1_2_disc_r3,vsly_value_e1_2_disc_r3,economic_value_e1_5_disc_r3,vsly_value_e1_5_disc_r3,bca_base_year,bca_currency_basis,bca_price_year,bca_standing,bca_scope,cost_to_bca_currency_factor
Aceh,2025,74136.3707949527,IDN,13851.4910785419,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,14722.8657700565,14722.8657700565,0,0,0,,South-East Asia,5759837.0804348,36,3918552.09636972,36.0357401643325,38.4324,22.630139499715,79782331933.4974,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,24925.9434676518,36041.1816033917,57665.8905654267,57665.8905654267,41229.8774910341,24925.9434676518,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,13851.4910785419,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2026,75186.4097436074,IDN,14370.1004216288,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,15089.4051604355,15089.4051604355,0,0,0,,South-East Asia,5817193.08505618,36,3975853.35716762,36.1525339600562,38.5118,22.655230107796,83593648804.2618,1005171.14667516,1005171.14667516,287402.008432575,1437010.04216288,2299216.0674606,2299216.0674606,1005171.14667516,1651368.04678308,69.9487906961494,26100.3418867765,37313.499814677,59701.5997034832,59701.5997034832,42879.5342410139,26100.3418867765,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786407767,0.970873786407767,0.930335220273297,0.99009900990099,0.970873786407767,0.952380952380952,13951.5538074066,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2027,76251.3210387483,IDN,14908.1268548478,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,15481.8664609213,15481.8664609213,0,0,0,,South-East Asia,5873737.02269959,36,4032280.12672743,36.2679470411523,38.5981,22.6824344315108,87566416646.4215,1054704.78399696,1054704.78399696,298162.537096956,1490812.68548478,2385300.29677565,2385300.29677565,1054704.78399696,1720989.43282997,70.7469687014363,27325.3031625121,38623.9914784609,61798.3863655374,61798.3863655374,44587.4131843269,27325.3031625121,0,0,0,0,0,0,0,0,0,0,0,0,0.942595909133754,0.942595909133754,0.865523622080964,0.980296049406921,0.942595909133754,0.90702947845805,14052.3393862266,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2028,77331.3153265521,IDN,15466.2973673947,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,15908.8239458329,15908.8239458329,0,0,0,,South-East Asia,5929334.25627093,36,4083465.99975481,36.3733139817719,38.6819,22.7087843541359,91704846798.1662,1106679.37998977,1106679.37998977,309325.947347894,1546629.73673947,2474607.57878315,2474607.57878315,1106679.37998977,1793546.04425229,71.5542546287015,28609.7471941599,39983.2928770166,63973.2686032266,63973.2686032266,46366.5446695298,28609.7471941599,0,0,0,0,0,0,0,0,0,0,0,0,0.91514165935316,0.91514165935316,0.805227109600435,0.970590147927644,0.91514165935316,0.863837598531476,14153.853036847,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2029,78426.6062367069,IDN,16045.3661674401,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,16366.6298067091,16366.6298067091,0,0,0,,South-East Asia,5984049.69203598,36,4131652.86375255,36.4872910361887,38.7616,22.7337845950248,96016268472.8743,1161215.22219063,1161215.22219063,320907.323348801,1604536.61674401,2567258.58679041,2567258.58679041,1161215.22219063,1869161.62963497,72.3707524074468,29957.8764083688,41395.0047661605,66232.0076258568,66232.0076258568,48221.9936647343,29957.8764083688,0,0,0,0,0,0,0,0,0,0,0,0,0.888487047915689,0.888487047915689,0.749131140380151,0.960980344482816,0.888487047915689,0.822702474791882,14256.1000188351,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2030,79537.4104246691,IDN,16646.1157012267,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,16843.2265947512,16843.2265947512,0,0,0,,South-East Asia,6037829.75283752,37,4176767.97796506,36.6081855927293,37.9169,22.4658000273643,100506412650.043,1218438.52576316,1218438.52576316,332922.314024535,1664611.57012267,2663378.51219628,2663378.51219628,1218438.52576316,1947965.1547815,73.1965671531029,32134.444687281,43901.5734441021,70242.5175105633,70242.5175105633,51374.5890297333,32134.444687281,0,0,0,0,0,0,0,0,0,0,0,0,0.862608784384164,0.862608784384164,0.696943084499154,0.951465687606749,0.862608784384164,0.783526166468459,14359.0856297533,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2031,80420.1567986293,IDN,17161.0734660986,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,17314.5416466977,17301.0363414667,13.5053052309497,178.822972740419,137.556939586621,69.3974844999562,South-East Asia,6090868.72417394,37,4219182.48018547,36.7333435945668,38.0144,22.4970749873771,104525845647.911,1268394.06335233,1268394.06335233,343221.469321971,1716107.34660986,2745771.75457577,2745771.75457577,1268394.06335233,2016045.54978275,73.9111143517929,33366.1471272025,45143.6125944341,72229.7801510945,72229.7801510946,53033.733263783,33366.1471272025,17130048.9786977,23176553.5250413,37082485.6400661,37082485.6400661,27227310.5093138,17130048.9786977,5966633.61818056,8072715.00437854,12916344.0070057,12916344.0070057,9483649.83775214,5966633.61818056,0.837484256683654,0.837484256683654,0.648390698035471,0.942045235254207,0.837484256683654,0.746215396636627,14372.1288556491,14346146.3358793,4996961.72062565,22802443.9033878,7942407.43501791,14346146.3358793,4996961.72062565,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2032,81312.7003379309,IDN,17691.9617642167,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,17800.230830479,17746.5425133209,53.6883171580767,724.503760088031,559.019969748711,68.7323161574256,South-East Asia,6143163.94819398,37,4254521.73392879,36.8887174488527,38.116,22.5295693425052,108684621682.763,1320397.75986215,1320397.75986215,353839.235284335,1769196.17642167,2830713.88227468,2830713.88227468,1320397.75986215,2086505.32008861,74.632636982788,34641.5615453393,46416.102855013,74265.7645680207,74265.7645680207,54740.9308450155,34641.5615453393,70889933.7062932,94985165.4345834,151976264.695333,151976264.695333,112020959.376932,70889933.7062932,25097941.5949193,33628641.0470897,53805825.6753435,53805825.6753435,39660010.2279326,25097941.5949193,0.813091511343354,0.813091511343354,0.603220702879986,0.932718054707135,0.813091511343354,0.710681330130121,14385.1839294958,57640003.3362801,20406923.2630201,91083291.1619217,32247217.6561226,57640003.3362801,20406923.2630201,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2033,82215.1497764654,IDN,18239.2734163655,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,18293.2767586841,18181.0056131443,112.271145539853,1548.24979847431,1191.77100313223,68.2693342001468,South-East Asia,6194694.60370395,37,4285044.0471306,37.0324796177125,38.2239,22.5639719199232,112986728607.841,1374533.58906546,1374533.58906546,364785.468327311,1823927.34163655,2918283.74661849,2918283.74661849,1374533.58906546,2159427.6236602,75.3612031404788,35960.0561184353,47716.9347355072,76347.0955768116,76347.0955768116,56494.1731131621,35960.0561184353,154320460.627384,204774412.026995,327639059.243191,327639059.243191,242441413.018733,154320460.627384,55675149.6384923,73877734.5880608,118204375.340897,118204375.340897,87467092.137426,55675149.6384923,0.789409234313936,0.789409234313936,0.561197465487265,0.923483222482312,0.789409234313936,0.676839362028687,14398.2508620556,121821996.662837,43950477.246436,191385490.217106,69047330.2318719,121821996.662837,43950477.246436,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Aceh,2034,83127.6150549084,IDN,18803.5164890413,S_70_30_30_TO_70_70_70,70-30-30 -> 70-70-70 hypertension/cholesterol + diabetes cascade (subnational),cascade_70_30_30_to_70_70_70_subnational,cascade_subnational,18797.1890550996,18610.7554822502,186.433572849425,2612.64759201672,2006.39500508606,67.9847774409971,South-East Asia,6245302.45995421,37,4313850.63632361,37.1753713269593,38.3332,22.5987091816078,117433647784.799,1430888.96762928,1430888.96762928,376070.329780827,1880351.64890413,3008562.63824661,3008562.63824661,1430888.96762928,2234898.52478722,76.096881583995,37327.6681213485,49052.8223290551,78484.5157264881,78484.5157264881,58301.9034358525,37327.6681213485,266765742.585951,350560676.118505,560897081.789609,560897081.789609,416660116.931991,266765742.585951,97524042.2328403,128157738.13963,205052381.023407,205052381.023407,152322327.621671,97524042.2328403,0.766416732343627,0.766416732343627,0.522101767670911,0.914339824239913,0.766416732343627,0.644608916217797,14411.3296641006,204453728.733946,74744057.7730353,319335285.31693,116742380.598776,204453728.733946,74744057.7730353,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
